"","Quarter","Gender","Age (bands and single year)","National - Regional - LA - OAs","Duration of Claim","Client type","value"
"21052","May-15","Unknown","65 and over","E00024278","6 months up to 1 year","Working age",0
"21053","Aug-15","Unknown","65 and over","E00024278","6 months up to 1 year","Working age",0
"21054","Nov-15","Unknown","65 and over","E00024278","6 months up to 1 year","Working age",0
"21055","Feb-16","Unknown","65 and over","E00024278","6 months up to 1 year","Working age",0
"21056","May-16","Unknown","65 and over","E00024278","6 months up to 1 year","Working age",0
"21057","Aug-16","Unknown","65 and over","E00024278","6 months up to 1 year","Working age",0
"21058","Nov-16","Unknown","65 and over","E00024278","6 months up to 1 year","Working age",0
"21059","Feb-17","Unknown","65 and over","E00024278","6 months up to 1 year","Working age",0
"21060","May-17","Unknown","65 and over","E00024278","6 months up to 1 year","Working age",0
"21061","Aug-17","Unknown","65 and over","E00024278","6 months up to 1 year","Working age",0
"21062","Nov-17","Unknown","65 and over","E00024278","6 months up to 1 year","Working age",0
"21063","Feb-18","Unknown","65 and over","E00024278","6 months up to 1 year","Working age",0
"21064","Aug-03","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21065","Nov-03","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21066","Feb-04","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21067","May-04","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21068","Aug-04","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21069","Nov-04","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21070","Feb-05","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21071","May-05","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21072","Aug-05","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21073","Nov-05","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21074","Feb-06","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21075","May-06","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21076","Aug-06","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21077","Nov-06","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21078","Feb-07","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21079","May-07","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21080","Aug-07","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21081","Nov-07","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21082","Feb-08","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21083","May-08","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21084","Aug-08","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21085","Nov-08","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21086","Feb-09","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21087","May-09","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21088","Aug-09","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21089","Nov-09","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21090","Feb-10","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21091","May-10","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21092","Aug-10","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21093","Nov-10","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21094","Feb-11","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21095","May-11","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21096","Aug-11","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21097","Nov-11","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21098","Feb-12","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21099","May-12","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21100","Aug-12","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21101","Nov-12","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21102","Feb-13","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21103","May-13","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21104","Aug-13","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21105","Nov-13","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21106","Feb-14","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21107","May-14","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21108","Aug-14","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21109","Nov-14","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21110","Feb-15","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21111","May-15","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21112","Aug-15","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21113","Nov-15","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21114","Feb-16","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21115","May-16","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21116","Aug-16","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21117","Nov-16","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21118","Feb-17","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21119","May-17","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21120","Aug-17","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21121","Nov-17","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21122","Feb-18","Male","Unknown","E00024278","6 months up to 1 year","Working age",0
"21123","Aug-03","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21124","Nov-03","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21125","Feb-04","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21126","May-04","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21127","Aug-04","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21128","Nov-04","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21129","Feb-05","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21130","May-05","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21131","Aug-05","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21132","Nov-05","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21133","Feb-06","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21134","May-06","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21135","Aug-06","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21136","Nov-06","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21137","Feb-07","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21138","May-07","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21139","Aug-07","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21140","Nov-07","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21141","Feb-08","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21142","May-08","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21143","Aug-08","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21144","Nov-08","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21145","Feb-09","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21146","May-09","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21147","Aug-09","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21148","Nov-09","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21149","Feb-10","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21150","May-10","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21151","Aug-10","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21152","Nov-10","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21153","Feb-11","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21154","May-11","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21155","Aug-11","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21156","Nov-11","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21157","Feb-12","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21158","May-12","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21159","Aug-12","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21160","Nov-12","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21161","Feb-13","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21162","May-13","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21163","Aug-13","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21164","Nov-13","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21165","Feb-14","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21166","May-14","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21167","Aug-14","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21168","Nov-14","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21169","Feb-15","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21170","May-15","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21171","Aug-15","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21172","Nov-15","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21173","Feb-16","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21174","May-16","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21175","Aug-16","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21176","Nov-16","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21177","Feb-17","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21178","May-17","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21179","Aug-17","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21180","Nov-17","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21181","Feb-18","Female","Unknown","E00024278","6 months up to 1 year","Working age",0
"21182","Aug-03","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21183","Nov-03","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21184","Feb-04","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21185","May-04","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21186","Aug-04","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21187","Nov-04","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21188","Feb-05","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21189","May-05","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21190","Aug-05","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21191","Nov-05","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21192","Feb-06","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21193","May-06","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21194","Aug-06","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21195","Nov-06","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21196","Feb-07","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21197","May-07","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21198","Aug-07","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21199","Nov-07","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21200","Feb-08","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21201","May-08","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21202","Aug-08","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21203","Nov-08","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21204","Feb-09","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21205","May-09","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21206","Aug-09","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21207","Nov-09","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21208","Feb-10","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21209","May-10","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21210","Aug-10","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21211","Nov-10","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21212","Feb-11","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21213","May-11","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21214","Aug-11","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21215","Nov-11","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21216","Feb-12","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21217","May-12","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21218","Aug-12","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21219","Nov-12","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21220","Feb-13","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21221","May-13","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21222","Aug-13","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21223","Nov-13","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21224","Feb-14","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21225","May-14","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21226","Aug-14","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21227","Nov-14","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21228","Feb-15","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21229","May-15","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21230","Aug-15","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21231","Nov-15","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21232","Feb-16","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21233","May-16","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21234","Aug-16","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21235","Nov-16","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21236","Feb-17","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21237","May-17","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21238","Aug-17","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21239","Nov-17","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21240","Feb-18","Unknown","Unknown","E00024278","6 months up to 1 year","Working age",0
"21241","Aug-03","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21242","Nov-03","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21243","Feb-04","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21244","May-04","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21245","Aug-04","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21246","Nov-04","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21247","Feb-05","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21248","May-05","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21249","Aug-05","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21250","Nov-05","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21251","Feb-06","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21252","May-06","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21253","Aug-06","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21254","Nov-06","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21255","Feb-07","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21256","May-07","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21257","Aug-07","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21258","Nov-07","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21259","Feb-08","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21260","May-08","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21261","Aug-08","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21262","Nov-08","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21263","Feb-09","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21264","May-09","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21265","Aug-09","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21266","Nov-09","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21267","Feb-10","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21268","May-10","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21269","Aug-10","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21270","Nov-10","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21271","Feb-11","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21272","May-11","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21273","Aug-11","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21274","Nov-11","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21275","Feb-12","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21276","May-12","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21277","Aug-12","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21278","Nov-12","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21279","Feb-13","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21280","May-13","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21281","Aug-13","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21282","Nov-13","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21283","Feb-14","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21284","May-14","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21285","Aug-14","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21286","Nov-14","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21287","Feb-15","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21288","May-15","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21289","Aug-15","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21290","Nov-15","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21291","Feb-16","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21292","May-16","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21293","Aug-16","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21294","Nov-16","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21295","Feb-17","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21296","May-17","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21297","Aug-17","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21298","Nov-17","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21299","Feb-18","Male","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21300","Aug-03","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21301","Nov-03","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21302","Feb-04","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21303","May-04","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21304","Aug-04","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21305","Nov-04","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21306","Feb-05","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21307","May-05","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21308","Aug-05","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21309","Nov-05","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21310","Feb-06","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21311","May-06","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21312","Aug-06","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21313","Nov-06","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21314","Feb-07","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21315","May-07","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21316","Aug-07","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21317","Nov-07","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21318","Feb-08","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21319","May-08","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21320","Aug-08","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21321","Nov-08","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21322","Feb-09","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21323","May-09","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21324","Aug-09","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21325","Nov-09","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21326","Feb-10","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21327","May-10","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21328","Aug-10","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21329","Nov-10","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21330","Feb-11","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21331","May-11","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21332","Aug-11","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21333","Nov-11","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21334","Feb-12","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21335","May-12","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21336","Aug-12","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21337","Nov-12","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21338","Feb-13","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21339","May-13","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21340","Aug-13","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21341","Nov-13","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21342","Feb-14","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21343","May-14","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21344","Aug-14","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21345","Nov-14","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21346","Feb-15","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21347","May-15","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21348","Aug-15","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21349","Nov-15","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21350","Feb-16","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21351","May-16","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21352","Aug-16","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21353","Nov-16","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21354","Feb-17","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21355","May-17","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21356","Aug-17","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21357","Nov-17","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21358","Feb-18","Female","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21359","Aug-03","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21360","Nov-03","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21361","Feb-04","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21362","May-04","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21363","Aug-04","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21364","Nov-04","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21365","Feb-05","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21366","May-05","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21367","Aug-05","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21368","Nov-05","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21369","Feb-06","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21370","May-06","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21371","Aug-06","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21372","Nov-06","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21373","Feb-07","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21374","May-07","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21375","Aug-07","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21376","Nov-07","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21377","Feb-08","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21378","May-08","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21379","Aug-08","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21380","Nov-08","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21381","Feb-09","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21382","May-09","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21383","Aug-09","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21384","Nov-09","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21385","Feb-10","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21386","May-10","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21387","Aug-10","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21388","Nov-10","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21389","Feb-11","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21390","May-11","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21391","Aug-11","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21392","Nov-11","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21393","Feb-12","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21394","May-12","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21395","Aug-12","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21396","Nov-12","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21397","Feb-13","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21398","May-13","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21399","Aug-13","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21400","Nov-13","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21401","Feb-14","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21402","May-14","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
